statnm,addrdoro,lat,lng
신창동 공영주차장,서울특별시 용산구 원효로35길 53,37.5353568,126.9552587
한남동 공영주차장,서울특별시 용산구 이태원로 224-19,37.5349284,127.0002489
현대자동차 수색대리점,서울특별시 은평구 수색로 342-1,37.5867665,126.8880299
은평구민체육센터,서울특별시 은평구 진관1로 40,37.6310603,126.9246413
태화빌딩,서울특별시 종로구 인사동5길 29,37.5718148,126.9850443
한국예술종합학교(종로),서울특별시 종로구 창경궁로 215,37.5824318,126.9974047
국립극장,서울특별시 중구 장충단로 59,37.5517908,127.0002167
국립극장,서울특별시 중구 장충단로 59,37.5517908,127.0002167
홈플러스 상봉점,서울특별시 중랑구 망우로 353,37.5983156,127.0905669
홈플러스 신내점,서울특별시 중랑구 신내로 201,37.6159847,127.0939656
용마폭포공원 공영주차장,서울특별시 중랑구 용마산로 250-12,37.5745068,127.089592
서울만남휴게소(부산방향),서울특별시 서초구 양재대로12길 73-71 (원지동),37.4600218,127.0420378
서울만남휴게소(부산방향),서울특별시 서초구 양재대로12길 73-71 (원지동),37.4600218,127.0420378
파크하얏트서울호텔,서울특별시 강남구 테헤란로606,37.508834,127.064114
그랜드힐튼호텔,서울특별시 서대문구 연희로 353,37.590003,126.934744
현대남부서비스센터,서울특별시 동작구 대방동 70-5,37.513933,126.931298
롯데 VIC마켓 도봉점,서울특별시 도봉구 마들로 645 (방학동),37.667731,127.045491
롯데 VIC마켓 금천점,서울특별시 금천구 두산로 71 (독산동),37.470581,126.895698
롯데 VIC마켓 금천점,서울특별시 금천구 두산로 71 (독산동),37.470581,126.895698
우리은행본점,서울특별시 중구 소공로 51번지,37.559534,126.981817
우리은행본점,서울특별시 중구 소공로 51번지,37.559534,126.981817
마곡레포츠센터,서울특별시 강서구 양천로 251  입구 우측,37.5728411,126.8323738
창2동 제4공영주차장,서울특별시 도봉구 창2동 582-22,37.6413031,127.0364035
창3동 제1공영주차장,서울특별시 도봉구 창3동 504-21  좌측 안쪽,37.6332558,127.0412125
창천공영주차장,서울특별시 마포구 노고산동 33-1  B3 28,37.55493,126.9389738
번동햇살 공영주차장,서울특별시 강북구 오현로 21길 84  옥상 주차장,37.6249449,127.0334805
난향동 주민센터,서울특별시 관악구 난곡로 67,37.4616153,126.9189711
시흥제4동공영주차장,서울특별시 금천구 독산로 36나길 21  B1 18,37.4589664,126.9084827
쌍문3동 제2공영주차장,서울특별시 도봉구 쌍문3동 315-62  지하 1층 안쪽,37.6493531,127.0293841
스탠포드호텔코리아,서울특별시 마포구 상암동 월드컵북로 58길 15  지하4층 18,37.5823581,126.886648
국회도서관,서울특별시 영등포구 의사당대로1  국회도서관 앞,37.5300002,126.9169991
국회도서관,서울특별시 영등포구 의사당대로1  국회도서관 앞,37.5300002,126.9169991
국회도서관,서울특별시 영등포구 의사당대로1  국회도서관 앞,37.5300002,126.9169991
국회의원회관,서울특별시 영등포구 의사당대로1  국회의원회관 주차장 우측,37.5284644,126.9149198
국회의원회관,서울특별시 영등포구 의사당대로1  국회의원회관 주차장 우측,37.5284644,126.9149198
국회의원회관,서울특별시 영등포구 의사당대로1  국회의원회관 주차장 우측,37.5284644,126.9149198
노원에코센터,서울특별시 노원구 덕릉로 450,37.644779,127.059382
영등포구청 환승공영주차장,서울특별시 영등포구 양산로111,37.524521,126.895436
서울의료원,서울특별시 중랑구 신내로 156,37.6128457,127.0993409
롯데 빅마켓,서울특별시 영등포구 영중로 125  지상주차장(외부 1F),37.528123,126.90408
롯데 빅마켓,서울특별시 영등포구 영중로 125  지상주차장(외부 1F),37.528123,126.90408
롯데 빅마켓,서울특별시 영등포구 영중로 125  지상주차장(외부 1F),37.528123,126.90408
롯데 빅마켓,서울특별시 영등포구 영중로 125  지상주차장(외부 1F),37.528123,126.90408
롯데 빅마켓,서울특별시 영등포구 영중로 125  지상주차장(외부 1F),37.528123,126.90408
롯데 빅마켓,서울특별시 영등포구 영중로 125  지상주차장(외부 1F),37.528123,126.90408
성애병원,서울특별시 영등포구 여의대방로 53길 22,37.51202,126.92238
냉천길 공영주차장,서울특별시 강북구 삼양로 230-12,37.62393,127.01953
미아동 공영주차장,서울특별시 강북구 도봉로 61길 46,37.62851,127.02233
수유마을시장 공영주차장,서울특별시 강북구 도봉로 69길 29,37.62047,127.02679
개봉1동 주민센터 옆 공영주차장,서울특별시 구로구 개봉동 134-8,37.50016,126.85106
하늘공원주차장,서울특별시 구로구 벚꽃로 370,37.48739,126.88051
쌍문2동 제3공영주차장,서울특별시 도봉구 쌍문2동 710-4,37.66116,127.03864
서초구청,서울특별시 서초구 남부순환로 2584,37.48358,127.03269
북한산국립공원 정릉탐방지원센터,서울특별시 성북구 정릉동 829-1,37.61846,126.9969
북한산국립공원주차장,서울특별시 은평구 진관동 278,37.65584,126.94885
부암동 주민센터,서울특별시 종로구 창의문로 145,37.59246,126.96412
SETEC,서울특별시 강남구 남부순환로3104,37.49584,127.07223
논현로22길 공영주차장,서울특별시 강남구 개포로 25길 32,37.48151,127.04851
대청역 공영주차장,서울특별시 강남구 개포동 13-2,37.49491,127.07928
압구정로29길 공영노상주차장,서울특별시 강남구 압구정동 453,37.52968,127.02782
가오리 공영주차장,서울특별시 강북구 삼양로107길 30,37.64152,127.01495
가양레포츠센터,서울특별시 강서구 양천로61길 101,37.56198,126.86373
강서구민올림픽체육센터,서울특별시 강서구 화곡로65길62,37.55962,126.85057
상계2동 공영주차장,서울특별시 노원구 상계2동 373-13,37.65668,127.06751
DMC 산학협력연구센터,서울특별시 마포구 매봉산로 37,37.576,126.89053
마천동2공영주차장,서울특별시 송파구 성내천로299-7,37.49427,127.15624
거여동공영주차장,서울특별시 송파구 오금로68길8,37.49223,127.15033
천마공영주차장,서울특별시 송파구 성내천로33가길20,37.50028,127.15482
이태원2동공영주차장,서울특별시 용산구 회나무로 55？,37.54034,126.99267
이마트 은평점,서울특별시 은평구 은평로 111,37.60077,126.92049
신월5동 주민센터,서울특별시 양천구 화곡로4길 10,37.53852,126.82716
신정1동 주민센터,서울특별시 양천구 중앙로 32길 1,37.51855,126.85429
목2동 주민센터,서울특별시 양천구 목동 중앙본로 120,37.5461,126.87168
송정동 공영주차장,서울특별시 성동구 동일로 199,37.54988,127.06804
sh서울주택도시공사,서울특별시 강남구 개포로 621,37.49414,127.07879
sh서울주택도시공사,서울특별시 강남구 개포로 621,37.49414,127.07879
강동구청,서울특별시 강동구 성내로 25,37.53025,127.12379
강동구청,서울특별시 강동구 성내로 25,37.53025,127.12379
홈플러스 금천점,서울특별시 금천구 시흥대로 391,37.46864,126.89681
홈플러스 금천점,서울특별시 금천구 시흥대로 391,37.46864,126.89681
도봉산환승주차장,서울특별시 도봉구 도봉동 341-1,37.69,127.04325
도봉산환승주차장,서울특별시 도봉구 도봉동 341-1,37.69,127.04325
도봉구청,서울특별시 도봉구 마들로 656,37.66862,127.04704
도봉구청,서울특별시 도봉구 마들로 656,37.66862,127.04704
마장축산물시장 서문 공영주차장,서울특별시 성동구 고산자로 26길 6,37.57041,127.03833
마장축산물시장 서문 공영주차장,서울특별시 성동구 고산자로 26길 6,37.57041,127.03833
서울약령시 공영주차장,서울특별시 동대문구 약령중앙로 26,37.58051,127.03715
서울약령시 공영주차장,서울특별시 동대문구 약령중앙로 26,37.58051,127.03715
롯데마트 서울양평점,서울특별시 영등포구 선유로 138,37.52604,126.89173
롯데마트 서울양평점,서울특별시 영등포구 선유로 138,37.52604,126.89173
도봉기적의도서관,서울특별시 광진구 광나루로56길 85,37.6812,127.05023
도봉기적의도서관,서울특별시 광진구 광나루로56길 85,37.6812,127.05023
구파발광역환승센터 주차장,서울특별시 은평구 진관동 66-30,37.637968,126.91937
구파발광역환승센터 주차장,서울특별시 은평구 진관동 66-30,37.637968,126.91937
서울역사박물관,서울특별시 종로구 새문안로 55,37.57005,126.97053
서울역사박물관,서울특별시 종로구 새문안로 55,37.57005,126.97053
신정3동 넓은들 민원센터,서울특별시 양천구 남부순환로 88길 5-7,37.5113,126.84145
신정3동 넓은들 민원센터,서울특별시 양천구 남부순환로 88길 5-7,37.5113,126.84145
용답동 공영주차장,서울특별시 성동구 용답동 4-1,37.56452,127.05429
용답동 공영주차장,서울특별시 성동구 용답동 4-1,37.56452,127.05429
마포공영주차장,서울특별시 마포구 마포대로1길 9,37.5391,126.9431
마포공영주차장,서울특별시 마포구 마포대로1길 9,37.5391,126.9431
마포공영주차장,서울특별시 마포구 마포대로1길 9,37.5391,126.9431
마포공영주차장,서울특별시 마포구 마포대로1길 9,37.5391,126.9431
롯데백화점 본점,서울특별시 중구 을지로 30,37.56499,126.98136
롯데백화점 본점,서울특별시 중구 을지로 30,37.56499,126.98136
롯데백화점 본점,서울특별시 중구 을지로 30,37.56499,126.98136
롯데백화점 본점,서울특별시 중구 을지로 30,37.56499,126.98136
성수2가 공영주차장,서울특별시 성동구 광나루로4가길 23,37.54909,127.05516
성수2가 공영주차장,서울특별시 성동구 광나루로4가길 23,37.54909,127.05516
성수2가 공영주차장,서울특별시 성동구 광나루로4가길 23,37.54909,127.05516
성수2가 공영주차장,서울특별시 성동구 광나루로4가길 23,37.54909,127.05516
충현동 제1공영주차장,서울특별시 서대문구 충정로2가 78-13,37.5646084,126.964361
남가좌2동 공영주차장,서울특별시 서대문구 남가좌2동 3-75,37.5830145,126.9231095
미도아파트 앞 공영주차장,서울특별시 서초구 반포동 49-8,37.49981208,127.0105027
올림픽공원,서울특별시 송파구 올림픽로 424,37.5171577,127.115847
구민회관,서울특별시 송파구 백제고분로 242,37.502452,127.0931042
문화회관동측 주차장,서울특별시 양천구 신정6동 322-5,37.5167683,126.8635627
곰달래공영주차장,서울특별시 양천구 곰달래로10길 4,37.5295552,126.8357706
다락골공영주차장,서울특별시 양천구 중앙로29길 41,37.5163711,126.8492558
일원2동 주민센터,서울특별시 강남구 개포로 607,37.4919959,127.0738859
목4동주민센터,서울특별시 양천구 목동중앙로 25,37.5324277,126.8686162
한국장애인개발원 본사,서울특별시 영등포구 의사당대로 22,37.5269301,126.9179382
영등포본동제1(공영주차장),서울특별시 영등포구 영신로 10길 15,37.5142799,126.9093244
마포중앙도서관,서울특별시 마포구 성산로 128,37.5636424,126.9082864
강남구청 삼성로 별관 부설 주차장,서울특별시 강남구 삼성로 628,37.51617891,127.0520033
국방부 서문 주차장,서울특별시 용산구 한강대로 62다길 42,37.5331513,126.975461
일원본동 주민센터,서울특별시 강남구 광평로 126,37.4833754,127.0863932
탄천물재생센터,서울특별시 강남구 개포로 625,37.49590671,127.079998
탄천물재생센터,서울특별시 강남구 개포로 625,37.49590671,127.079998
한국원자력의학원 본사,서울특별시 노원구 노원로75,37.6281908,127.0831959
한국원자력의학원 본사,서울특별시 노원구 노원로75,37.6281908,127.0831959
상암1 공영주차장,서울특별시 마포구 성암로 197,37.5770112,126.8973596
상암1 공영주차장,서울특별시 마포구 성암로 197,37.5770112,126.8973596
Park M (주차복합빌딩),서울특별시 마포구 매봉산로 80,37.57852958,126.8942861
Park M (주차복합빌딩),서울특별시 마포구 매봉산로 80,37.57852958,126.8942861
구룡공원 공영주차장,서울특별시 서초구 양재동 301-6,37.47406246,127.4589647
